unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,SLB,Solomon Islands,POL3,81,89,84,92,93,85,80,89,85,78,85,88,97,84,90,88,89,99,90,89,84,78,88,88
ESAR,SOM,Somalia,POL3,47,47,47,47,47,47,47,47,47,47,47,47,49,49,41,40,40,26,35,30,40,40,33,37
ESAR,ZAF,South Africa,POL3,79,85,86,84,85,82,84,85,85,85,79,69,71,72,75,77,79,79,75,73,70,70,71,71
ESAR,SSD,South Sudan,POL3,72,72,69,65,61,60,60,45,52,52,56,67,66,,,,,,,,,,,
Non-programme,ESP,Spain,POL3,93,93,92,94,95,96,95,97,97,97,96,96,97,97,96,97,96,98,96,97,99,98,95,95
ROSA,LKA,Sri Lanka,POL3,99,98,96,96,99,99,99,99,99,99,99,99,99,99,97,98,98,98,99,97,98,98,98,99
MENA,PSE,State of Palestine,POL3,89,99,95,98,99,99,99,99,99,99,99,98,99,99,98,97,99,97,99,96,98,97,97,93
MENA,SDN,Sudan,POL3,53,69,85,90,93,93,95,93,93,94,93,92,93,90,81,85,84,77,78,74,69,60,66,62
LACR,SUR,Suriname,POL3,72,78,72,51,76,81,51,77,78,76,78,79,83,94,85,85,84,84,84,84,74,74,65,70
Non-programme,SWE,Sweden,POL3,94,94,98,97,98,97,97,98,98,97,98,98,98,98,98,98,98,98,98,99,99,99,99,99
Non-programme,CHE,Switzerland,POL3,95,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,94,94,94,95,95,95,95,95
MENA,SYR,Syrian Arab Republic,POL3,66,58,62,63,70,63,63,58,60,62,60,57,60,83,83,83,83,83,83,84,85,86,83,86
ECAR,TJK,Tajikistan,POL3,97,97,97,97,97,96,97,97,96,94,97,96,97,95,93,87,85,76,79,82,82,84,84,86
EAPR,THA,Thailand,POL3,93,93,93,97,97,97,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,97,97,97
EAPR,TLS,Timor-Leste,POL3,83,83,83,83,83,83,83,79,75,76,82,83,66,72,78,79,70,62,55,57,55,38,,
WCAR,TGO,Togo,POL3,81,75,81,80,78,58,76,81,82,82,84,84,85,83,78,80,72,85,80,71,72,58,51,63
EAPR,TON,Tonga,POL3,99,99,99,99,99,99,99,96,96,98,99,95,99,99,99,99,99,99,99,99,98,90,95,95
LACR,TTO,Trinidad and Tobago,POL3,94,94,94,93,93,99,94,84,88,94,94,91,91,91,90,91,90,89,95,94,91,96,91,90
MENA,TUN,Tunisia,POL3,97,97,97,97,98,97,98,98,98,98,98,97,98,98,99,99,98,99,98,97,95,96,98,97
ECAR,TUR,Turkiye,POL3,99,99,95,98,99,98,96,98,97,96,98,97,97,97,96,96,96,90,90,85,69,78,88,85
ECAR,TKM,Turkmenistan,POL3,98,98,97,98,99,99,99,98,99,98,98,98,97,96,97,96,98,98,99,98,66,99,94,98
EAPR,TUV,Tuvalu,POL3,94,90,87,90,92,89,96,94,96,89,90,97,96,89,85,99,97,97,99,98,93,98,96,82
ESAR,UGA,Uganda,POL3,89,90,91,88,92,88,90,88,85,78,78,79,79,79,78,69,70,62,59,58,57,57,56,55
ECAR,UKR,Ukraine,POL3,85,69,78,84,78,71,48,56,51,45,72,72,54,57,74,91,98,99,95,99,99,99,99,99
MENA,ARE,United Arab Emirates,POL3,96,95,96,80,95,99,96,99,99,99,98,96,95,94,94,94,94,94,94,94,94,94,94,94
Non-programme,GBR,United Kingdom,POL3,92,92,93,93,93,94,94,94,95,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91
ESAR,TZA,United Republic of Tanzania,POL3,84,84,66,61,87,82,89,89,93,97,91,90,88,94,88,89,88,91,91,95,97,91,65,64
Non-programme,USA,United States,POL3,93,93,93,92,93,93,92,94,93,93,93,93,94,93,93,94,93,93,92,92,91,90,89,90
LACR,URY,Uruguay,POL3,95,94,90,91,93,91,93,95,95,95,94,95,95,95,95,94,94,95,96,95,91,93,94,92
ECAR,UZB,Uzbekistan,POL3,99,99,99,97,98,98,99,99,99,99,99,99,99,99,99,98,98,94,99,99,99,99,99,99
EAPR,VUT,Vanuatu,POL3,71,68,62,76,90,85,83,81,80,80,78,77,75,74,72,70,69,67,67,67,67,67,67,67
LACR,VEN,Venezuela (Bolivarian Republic of),POL3,61,47,50,62,62,53,79,82,87,79,82,73,78,74,75,76,67,73,80,83,86,81,87,86
EAPR,VNM,Viet Nam,POL3,60,70,81,80,89,90,94,95,97,96,93,97,96,94,97,93,92,94,94,96,96,92,96,96
MENA,YEM,Yemen,POL3,46,58,56,57,59,52,56,61,60,64,66,68,69,77,76,78,79,78,80,72,61,64,73,74
ESAR,ZMB,Zambia,POL3,81,84,87,83,89,90,92,91,90,78,74,70,83,80,93,90,77,83,84,84,85,85,86,85
ESAR,ZWE,Zimbabwe,POL3,90,90,88,86,90,89,89,90,88,92,95,95,93,89,69,75,73,71,69,67,70,73,76,78
